u,v,flow,capacity,weight
_s,e0,6,6,0
_s,e1,5,5,0
_s,e2,5,5,0
_s,e3,4,4,0
_s,e4,1,1,0
_s,e5,1,1,0
_s,e6,1,1,0
_s,e7,1,1,0
_s,e8,1,1,0
_s,e9,1,1,0
_s,e10,1,1,0
_s,e11,1,1,0
_s,e12,1,1,0
_s,e13,1,1,0
_s,e14,1,1,0
_s,e15,1,1,0
_s,e16,1,1,0
_s,e17,1,1,0
_s,e18,1,1,0
_s,e19,1,1,0
_s,e20,1,1,0
_s,e21,1,1,0
_s,e22,1,1,0
_s,e23,1,1,0
_s,e24,1,1,0
_s,e25,1,1,0
_s,e26,1,1,0
_s,e27,1,1,0
_s,e28,1,1,0
_s,e29,1,1,0
_s,e30,1,1,0
_s,e31,1,1,0
_s,e32,1,1,0
_s,e33,1,1,0
_s,e34,1,1,0
_s,e35,1,1,0
_s,e36,1,1,0
_s,e37,1,1,0
_s,e38,1,1,0
_s,e39,1,1,0
_s,e40,1,1,0
_s,e41,1,1,0
_s,e42,1,1,0
_s,e43,1,1,0
_s,e44,1,1,0
_s,e45,1,1,0
P1,_t,6,6,0
P2,_t,6,6,0
P3,_t,6,6,0
P4,_t,6,6,0
P5,_t,6,6,0
P6,_t,6,6,0
P7,_t,6,6,0
P8,_t,5,6,0
P9,_t,3,6,0
P10,_t,3,6,0
P11,_t,3,6,0
P12,_t,3,6,0
P13,_t,3,6,0
e0,P1,2,6,1.0
e0,P2,2,6,0.0
e0,P4,2,6,2.0
e1,P3,3,5,0.0
e1,P5,2,5,1.0
e2,P7,5,5,0.0
e3,P5,4,4,0.0
e4,P1,1,1,0.0
e5,P2,1,1,0.0
e6,P3,1,1,0.0
e7,P4,1,1,0.0
e8,P6,1,1,1.0
e9,P6,1,1,0.0
e10,P8,1,1,1.0
e11,P8,1,1,0.0
e12,P9,1,1,0.0
e13,P10,1,1,0.0
e14,P11,1,1,0.0
e15,P12,1,1,0.0
e16,P13,1,1,0.0
e17,P1,1,1,0.0
e18,P2,1,1,0.0
e19,P3,1,1,0.0
e20,P4,1,1,0.0
e21,P6,1,1,1.0
e22,P6,1,1,0.0
e23,P8,1,1,1.0
e24,P8,1,1,0.0
e25,P9,1,1,0.0
e26,P10,1,1,0.0
e27,P11,1,1,0.0
e28,P12,1,1,0.0
e29,P13,1,1,0.0
e30,P1,1,1,0.0
e31,P2,1,1,0.0
e32,P3,1,1,0.0
e33,P4,1,1,0.0
e34,P6,1,1,1.0
e35,P6,1,1,0.0
e36,P7,1,1,0.0
e37,P8,1,1,0.0
e38,P9,1,1,0.0
e39,P10,1,1,0.0
e40,P11,1,1,0.0
e41,P12,1,1,0.0
e42,P13,1,1,0.0
e43,P1,1,1,0.0
e44,P2,1,1,0.0
e45,P4,1,1,1.0
